S.No,Country,Literacy Rate,Year,id
1,Andorra,1.0,2016.0,20
2,Armenia,1.0,2020.0,51
3,Australia,1.0,2020.0,36
4,Azerbaijan,1.0,2019.0,31
5,Barbados,1.0,2014.0,52
6,Belarus,1.0,2019.0,112
7,Canada,1.0,2020.0,124
8,Cuba,1.0,2021.0,192
9,Estonia,1.0,2021.0,233
10,France,1.0,2020.0,250
11,Georgia,1.0,2022.0,268
12,Germany,1.0,2020.0,276
13,Greenland,1.0,2015.0,304
14,Guam,1.0,2000.0,316
15,Japan,1.0,2020.0,392
16,Kazakhstan,1.0,2020.0,398
17,Kyrgyzstan,1.0,2019.0,417
18,Latvia,1.0,2021.0,428
19,Lithuania,1.0,2021.0,440
20,Moldova,1.0,2021.0,498
21,Poland,1.0,2021.0,616
22,Russia,1.0,2021.0,643
23,San Marino,1.0,2018.0,674
24,Slovenia,1.0,2001.0,705
25,Switzerland,1.0,2020.0,756
26,Tajikistan,1.0,2010.0,762
27,Ukraine,1.0,2021.0,804
28,United Kingdom,1.0,2020.0,826
29,United States of America,1.0,2020.0,840
30,Uzbekistan,1.0,2022.0,860
31,Albania,0.99,2022.0,8
32,Antigua and Barbuda,0.99,2001.0,28
33,Argentina,0.99,2018.0,32
34,Cayman Islands,0.99,2021.0,136
35,Croatia,0.99,2021.0,191
36,Cyprus,0.99,2021.0,196
37,Czech Republic,0.99,2011.0,203
38,Fiji,0.99,2018.0,242
39,Grenada,0.99,2014.0,308
40,Hungary,0.99,2021.0,348
41,Italy,0.99,2018.0,380
42,Mongolia,0.99,2020.0,496
43,Montenegro,0.99,2021.0,499
44,Romania,0.99,2021.0,642
45,Samoa,0.99,2021.0,882
46,Serbia,0.99,2019.0,688
47,Spain,0.99,2020.0,724
48,Taiwan,0.99,2014.0,158
49,Tonga,0.99,2021.0,776
50,Turkmenistan,0.99,2005.0,795
51,Uruguay,0.99,2019.0,858
52,Aruba,0.98,2020.0,533
53,Bahrain,0.98,2018.0,48
54,Bosnia and Herzegovina,0.98,2022.0,70
55,Brunei,0.98,2021.0,96
56,Bulgaria,0.98,2021.0,100
57,Costa Rica,0.98,2021.0,188
58,Greece,0.98,2018.0,300
59,Jordan,0.98,2021.0,400
60,Maldives,0.98,2021.0,462
61,Marshall Islands,0.98,2011.0,584
62,North Macedonia,0.98,2012.0,807
63,Saudi Arabia,0.98,2020.0,682
