state,total_schools,completion,total_students,region
Johor,1194,99.0,576634,West Malaysia
Kedah,753,101.1,337056,West Malaysia
Kelantan,597,98.2,290250,West Malaysia
Melaka,317,99.5,150887,West Malaysia
Negeri Sembilan,480,101.6,195606,West Malaysia
Pahang,742,96.5,257182,West Malaysia
Perak,1106,99.9,367306,West Malaysia
Perlis,105,105.5,44420,West Malaysia
Pulau Pinang,399,97.7,231630,West Malaysia
Sabah,1297,100.6,506864,East Malaysia
Sarawak,1459,100.7,432479,East Malaysia
Selangor,944,98.6,923765,West Malaysia
Terengganu,508,103.8,235131,West Malaysia
W.P. Kuala Lumpur,294,93.8,221465,West Malaysia
W.P. Labuan,28,92.4,17027,East Malaysia
W.P. Putrajaya,27,102.9,34078,West Malaysia
