year,stage,completion
2016,Primary,98.37
2017,Primary,98.07
2018,Primary,97.67
2019,Primary,98.0
2020,Primary,98.4
2021,Primary,99.0
2022,Primary,99.3
2016,Secondary Lower,95.582
2017,Secondary Lower,97.7251
2018,Secondary Lower,96.6377
2019,Secondary Lower,96.7
2020,Secondary Lower,97.8
2021,Secondary Lower,99.8
2022,Secondary Lower,99.0
2016,Secondary Upper,99.2484
2017,Secondary Upper,96.3806
2018,Secondary Upper,95.6307
2019,Secondary Upper,97.5
2020,Secondary Upper,92.8
2021,Secondary Upper,97.8
2022,Secondary Upper,99.2
