state,stage,students
Johor,Primary,331205
Johor,Secondary,238491
Johor,Post Secondary,6938
Kedah,Primary,188524
Kedah,Secondary,143591
Kedah,Post Secondary,4941
Kelantan,Primary,172145
Kelantan,Secondary,113329
Kelantan,Post Secondary,4776
Melaka,Primary,86269
Melaka,Secondary,62385
Melaka,Post Secondary,2233
Negeri Sembilan,Primary,108856
Negeri Sembilan,Secondary,83571
Negeri Sembilan,Post Secondary,3179
Pahang,Primary,151624
Pahang,Secondary,101823
Pahang,Post Secondary,3735
Perak,Primary,200543
Perak,Secondary,160387
Perak,Post Secondary,6376
Perlis,Primary,24253
Perlis,Secondary,19115
Perlis,Post Secondary,1052
Pulau Pinang,Primary,129598
Pulau Pinang,Secondary,98578
Pulau Pinang,Post Secondary,3454
Sabah,Primary,292541
Sabah,Secondary,204780
Sabah,Post Secondary,9543
Sarawak,Primary,235319
Sarawak,Secondary,189658
Sarawak,Post Secondary,7502
Selangor,Primary,548622
Selangor,Secondary,367664
Selangor,Post Secondary,7479
Terengganu,Primary,134557
Terengganu,Secondary,97169
Terengganu,Post Secondary,3405
W.P. Kuala Lumpur,Primary,133531
W.P. Kuala Lumpur,Secondary,86197
W.P. Kuala Lumpur,Post Secondary,1737
W.P. Labuan,Primary,9925
W.P. Labuan,Secondary,6821
W.P. Labuan,Post Secondary,281
W.P. Putrajaya,Primary,22503
W.P. Putrajaya,Secondary,11436
W.P. Putrajaya,Post Secondary,139
