state,sex,completion
Johor,Female,99.3
Johor,Male,98.7
Kedah,Female,102.4
Kedah,Male,99.8
Kelantan,Female,99.2
Kelantan,Male,97.3
Melaka,Female,100.3
Melaka,Male,98.7
Negeri Sembilan,Female,102.7
Negeri Sembilan,Male,100.6
Pahang,Female,98.1
Pahang,Male,95.1
Perak,Female,100.9
Perak,Male,99.1
Perlis,Female,107.2
Perlis,Male,103.9
Pulau Pinang,Female,98.9
Pulau Pinang,Male,96.6
Sabah,Female,100.8
Sabah,Male,100.3
Sarawak,Female,101.1
Sarawak,Male,100.3
Selangor,Female,99.1
Selangor,Male,98.2
Terengganu,Female,104.6
Terengganu,Male,103.1
W.P. Kuala Lumpur,Female,94.6
W.P. Kuala Lumpur,Male,92.9
W.P. Labuan,Female,93.9
W.P. Labuan,Male,90.9
W.P. Putrajaya,Female,104.9
W.P. Putrajaya,Male,101.1
