state,2017,2018,2019,2020,2021,2022
Johor,2.013,2.043,2.051,2.071,2.064,2.071
Kedah,2.139,2.187,2.212,2.252,2.244,2.234
Kelantan,1.966,2.007,2.03,2.089,2.077,2.057
Melaka,2.109,2.124,2.122,2.139,2.111,2.101
Negeri Sembilan,2.498,2.517,2.511,2.525,2.476,2.454
Pahang,2.906,2.941,2.963,2.987,2.926,2.885
Perak,2.86,2.931,2.964,3.03,3.018,3.011
Perlis,1.894,2.405,2.42,2.452,2.402,2.364
Pulau Pinang,1.652,1.683,1.691,1.724,1.725,1.723
Sabah,2.673,2.668,2.633,2.648,2.587,2.559
Sarawak,3.247,3.271,3.29,3.361,3.352,3.374
Selangor,1.058,1.064,1.051,1.05,1.032,1.022
Terengganu,2.208,2.226,2.226,2.243,2.195,2.16
W.P. Kuala Lumpur,1.395,1.382,1.362,1.361,1.34,1.328
W.P. Labuan,1.771,1.755,1.713,1.69,1.645,1.644
W.P. Putrajaya,1.092,1.0,0.915,0.915,0.842,0.792
